Day,Totall_deg, Vaccinated_deg,Infected_deg,Susceptible_deg,Recovered_deg, Totall_reg, Vaccinated_reg,Infected_reg,Susceptible_reg,Recovered_reg
1,15000,10500,2,4499,0,10000,6000,0,4000,0
2,15000,10500,2,4499,0,10000,6000,0,4000,0
3,15000,10500,3,4498,0,10000,6000,0,4000,0
4,15000,10500,4,4497,0,10000,6000,0,4000,0
5,15000,10500,10,4491,0,10000,6000,0,4000,0
6,15000,10500,18,4483,0,10000,6000,0,4000,0
7,15000,10500,27,4474,0,10000,6000,0,4000,0
8,15000,10500,47,4454,0,10000,6000,0,4000,0
9,15000,10500,66,4435,0,10000,6000,0,4000,0
10,15000,10500,89,4412,0,10000,6000,0,4000,0
11,15000,10500,131,4368,2,10000,6000,0,4000,0
12,15000,10500,181,4318,2,10000,6000,0,4000,0
13,15000,10500,240,4258,3,10000,6000,0,4000,0
14,15000,10500,362,4136,3,10000,6000,0,4000,0
15,15000,10500,501,3992,8,10000,6000,0,4000,0
16,15000,10500,684,3805,12,10000,6000,0,4000,0
17,15000,10500,937,3542,22,10000,6000,0,4000,0
18,15000,10500,1221,3240,40,10000,6000,0,4000,0
19,15000,10500,1527,2918,56,10000,6000,0,4000,0
20,15000,10500,1852,2573,76,10000,6000,0,4000,0
21,15000,10500,2226,2160,115,10000,6000,0,4000,0
22,15000,10500,2561,1778,162,10000,6000,0,4000,0
23,15000,10500,2898,1396,207,10000,6000,0,4000,0
24,15000,10500,3113,1087,301,10000,6000,0,4000,0
25,15000,10500,3229,833,439,10000,6000,0,4000,0
26,15000,10500,3263,637,601,10000,6000,1,3999,0
27,15000,10500,3177,488,836,10000,6000,1,3999,0
28,15000,10500,3013,379,1109,10000,6000,3,3997,0
29,15000,10500,2771,297,1433,10000,6000,6,3994,0
30,15000,10500,2497,252,1752,10000,6000,9,3991,0
31,15000,10500,2173,204,2124,10000,6000,13,3987,0
32,15000,10500,1789,178,2534,10000,6000,20,3980,0
33,15000,10500,1416,155,2930,10000,6000,30,3970,0
34,15000,10500,1100,145,3256,10000,6000,54,3946,0
35,15000,10500,823,131,3547,10000,6000,103,3897,0
36,15000,10500,599,125,3777,10000,6000,171,3828,1
37,15000,10500,438,119,3944,10000,6000,257,3742,1
38,15000,10500,322,114,4065,10000,6000,417,3582,1
39,15000,10500,229,111,4161,10000,6000,632,3364,4
40,15000,10500,156,110,4235,10000,6000,889,3104,7
41,15000,10500,118,108,4275,10000,6000,1264,2726,10
42,15000,10500,81,107,4313,10000,6000,1718,2267,15
43,15000,10500,60,104,4337,10000,6000,2169,1804,27
44,15000,10500,46,103,4352,10000,6000,2613,1346,41
45,15000,10500,35,103,4363,10000,6000,2956,960,84
46,15000,10500,24,103,4374,10000,6000,3219,653,128
47,15000,10500,19,103,4379,10000,6000,3349,443,208
48,15000,10500,14,103,4384,10000,6000,3369,302,329
49,15000,10500,10,103,4388,10000,6000,3266,204,530
50,15000,10500,8,103,4390,10000,6000,3092,133,775
51,15000,10500,6,103,4392,10000,6000,2840,92,1068
52,15000,10500,5,103,4393,10000,6000,2456,58,1486
53,15000,10500,1,103,4397,10000,6000,1993,41,1966
54,15000,10500,1,103,4397,10000,6000,1525,32,2443
55,15000,10500,0,103,4398,10000,6000,1129,26,2845
56,15000,10500,0,103,4398,10000,6000,781,23,3196
57,15000,10500,0,103,4398,10000,6000,516,22,3462
58,15000,10500,0,103,4398,10000,6000,348,22,3630
59,15000,10500,0,103,4398,10000,6000,220,21,3759
60,15000,10500,0,103,4398,10000,6000,139,21,3840
61,15000,10500,0,103,4398,10000,6000,91,21,3888
62,15000,10500,0,103,4398,10000,6000,52,21,3927
63,15000,10500,0,103,4398,10000,6000,30,21,3949
64,15000,10500,0,103,4398,10000,6000,16,21,3963
65,15000,10500,0,103,4398,10000,6000,8,20,3972
66,15000,10500,0,103,4398,10000,6000,5,20,3975
67,15000,10500,0,103,4398,10000,6000,3,20,3977
68,15000,10500,0,103,4398,10000,6000,2,20,3978
69,15000,10500,0,103,4398,10000,6000,1,20,3979
70,15000,10500,0,103,4398,10000,6000,1,20,3979
71,15000,10500,0,103,4398,10000,6000,1,20,3979
72,15000,10500,0,103,4398,10000,6000,1,20,3979
73,15000,10500,0,103,4398,10000,6000,1,20,3979
74,15000,10500,0,103,4398,10000,6000,1,20,3979
75,15000,10500,0,103,4398,10000,6000,0,20,3980
